,Iteration,Model_Type,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
1,1,Random Forest,0.985507246,0.6875,0.333333333,0.25,0.285714286
2,1,ANN,0.927536232,0.5625,0.2,0.25,0.222222222
3,2,Random Forest,0.985507246,0.714285714,0.5,0.25,0.333333333
4,2,ANN,0.838235294,0.714285714,0,0,NA
5,3,Random Forest,1,0.75,0.5,0.25,0.333333333
6,3,ANN,0.913043478,0.8125,0.666666667,0.5,0.571428571
7,4,Random Forest,1,0.533333333,0,0,NA
8,4,ANN,0.826086957,0.625,0,0,NA
9,5,Random Forest,1,0.733333333,NA,0,NA
10,5,ANN,0.869565217,0.533333333,0,0,NA
11,6,Random Forest,1,0.875,1,0.5,0.666666667
12,6,ANN,0.884057971,0.857142857,0.5,0.5,0.5
13,7,Random Forest,0.985507246,0.875,1,0.5,0.666666667
14,7,ANN,0.808823529,0.857142857,0.5,0.5,0.5
15,8,Random Forest,1,0.733333333,NA,0,NA
16,8,ANN,0.897058824,0.8,1,0.25,0.4
17,9,Random Forest,0.985507246,0.8125,1,0.25,0.4
18,9,ANN,0.913043478,0.75,0.5,0.25,0.333333333
19,10,Random Forest,1,0.642857143,0,0,NA
20,10,ANN,0.882352941,0.615384615,0.25,0.333333333,0.285714286
21,11,Random Forest,1,0.733333333,NA,0,NA
22,11,ANN,0.942028986,0.615384615,0.285714286,1,0.444444444
23,12,Random Forest,1,0.75,0.5,0.25,0.333333333
24,12,ANN,0.808823529,0.4375,0.142857143,0.25,0.181818182
25,13,Random Forest,1,0.75,0.5,0.25,0.333333333
26,13,ANN,0.897058824,0.666666667,0.333333333,0.25,0.285714286
27,14,Random Forest,0.985507246,0.8,0.5,0.333333333,0.4
28,14,ANN,0.855072464,0.785714286,0.5,0.333333333,0.4
29,15,Random Forest,0.971014493,0.733333333,0.5,0.25,0.333333333
30,15,ANN,0.926470588,0.8125,0.6,0.75,0.666666667
31,16,Random Forest,0.985507246,0.8125,1,0.25,0.4
32,16,ANN,0.955882353,0.727272727,0.5,0.666666667,0.571428571
33,17,Random Forest,1,0.666666667,0,0,NA
34,17,ANN,0.84057971,0.571428571,0,0,NA
35,18,Random Forest,1,0.8,0.5,0.333333333,0.4
36,18,ANN,0.869565217,0.692307692,0,0,NA
37,19,Random Forest,0.956521739,0.75,NA,0,NA
38,19,ANN,0.826086957,0.75,NA,0,NA
39,20,Random Forest,0.985507246,0.8125,1,0.25,0.4
40,20,ANN,0.940298507,0.785714286,0.333333333,0.5,0.4
41,21,Random Forest,1,0.8,NA,0,NA
42,21,ANN,0.925373134,0.8,NA,0,NA
43,22,Random Forest,0.985507246,0.769230769,0.5,0.333333333,0.4
44,22,ANN,0.84057971,0.769230769,0,0,NA
45,23,Random Forest,1,0.666666667,0,0,NA
46,23,ANN,0.867647059,0.6,0,0,NA
47,24,Random Forest,1,0.75,0.5,0.25,0.333333333
48,24,ANN,0.880597015,0.75,0.5,0.5,0.5
49,25,Random Forest,1,0.928571429,1,0.666666667,0.8
50,25,ANN,0.811594203,0.777777778,0.333333333,1,0.5
51,26,Random Forest,1,0.733333333,0.5,0.25,0.333333333
52,26,ANN,0.882352941,0.692307692,0.5,0.25,0.333333333
53,27,Random Forest,1,0.75,0.5,0.25,0.333333333
54,27,ANN,0.939393939,0.714285714,0.5,0.25,0.333333333
55,28,Random Forest,0.971014493,0.866666667,1,0.333333333,0.5
56,28,ANN,0.927536232,0.866666667,1,0.333333333,0.5
57,29,Random Forest,0.985507246,0.8,NA,0,NA
58,29,ANN,0.926470588,0.666666667,0,0,NA
59,30,Random Forest,1,0.6,0,0,NA
60,30,ANN,0.913043478,0.307692308,0,0,NA
61,31,Random Forest,1,0.733333333,0.333333333,0.333333333,0.333333333
62,31,ANN,0.84057971,0.769230769,NA,0,NA
63,32,Random Forest,1,0.857142857,1,0.333333333,0.5
64,32,ANN,0.855072464,0.8,0.5,0.666666667,0.571428571
65,33,Random Forest,0.985507246,0.75,NA,0,NA
66,33,ANN,0.913043478,0.75,NA,0,NA
67,34,Random Forest,0.985507246,0.8125,1,0.25,0.4
68,34,ANN,0.84057971,0.8,0.5,0.666666667,0.571428571
69,35,Random Forest,1,0.75,0.5,0.25,0.333333333
70,35,ANN,0.84057971,0.8125,0.666666667,0.5,0.571428571
71,36,Random Forest,0.971014493,0.733333333,0.5,0.25,0.333333333
72,36,ANN,0.897058824,0.75,0.5,0.25,0.333333333
73,37,Random Forest,1,0.733333333,0,0,NA
74,37,ANN,0.855072464,0.769230769,0,0,NA
75,38,Random Forest,0.985507246,0.866666667,1,0.5,0.666666667
76,38,ANN,0.797101449,0.6875,0.333333333,0.25,0.285714286
77,39,Random Forest,1,0.8,0.5,0.333333333,0.4
78,39,ANN,0.942028986,0.8,0.5,0.333333333,0.4
79,40,Random Forest,1,0.666666667,0,0,NA
80,40,ANN,0.898550725,0.642857143,0,0,NA
